1,02/03/2017 20:56,[EUR,122.84, AUD,88.585, CAD,93.43, GBP,143.285, USD,101.66]
2,02/03/2017 20:56,[EUR,123.719, AUD,89.945, CAD,87.962, GBP,144.245, USD,117.447]
3,02/03/2017 20:56,[EUR,123.719, AUD,89.945, CAD,87.962, GBP,144.245, USD,117.447]
